
            Primeiras 250 pesquisas

Tempo de execução: 0.000156900, Linha no dataset: 42504
Tempo de execução: 0.000222200, Linha no dataset: 42768
Tempo de execução: 0.000242200, Linha no dataset: 43032
Tempo de execução: 0.000180900, Linha no dataset: 43296
Tempo de execução: 0.000185900, Linha no dataset: 43560
Tempo de execução: 0.000293800, Linha no dataset: 43824
Tempo de execução: 0.000197400, Linha no dataset: 44088
Tempo de execução: 0.000193600, Linha no dataset: 44352
Tempo de execução: 0.000256400, Linha no dataset: 44616
Tempo de execução: 0.000310800, Linha no dataset: 44880
Tempo de execução: 0.000237200, Linha no dataset: 45144
Tempo de execução: 0.000138800, Linha no dataset: 45408
Tempo de execução: 0.000147400, Linha no dataset: 45672
Tempo de execução: 0.000122100, Linha no dataset: 45936
Tempo de execução: 0.000120300, Linha no dataset: 46200
Tempo de execução: 0.000122900, Linha no dataset: 46464
Tempo de execução: 0.000141300, Linha no dataset: 46728
Tempo de execução: 0.000161400, Linha no dataset: 46992
Tempo de execução: 0.000162800, Linha no dataset: 47256
Tempo de execução: 0.000165800, Linha no dataset: 47520
Tempo de execução: 0.000160000, Linha no dataset: 47784
Tempo de execução: 0.000182600, Linha no dataset: 48048
Tempo de execução: 0.000207700, Linha no dataset: 48312
Tempo de execução: 0.000190000, Linha no dataset: 48576
Tempo de execução: 0.000180000, Linha no dataset: 48840
Tempo de execução: 0.000165200, Linha no dataset: 49104
Tempo de execução: 0.000159700, Linha no dataset: 49368
Tempo de execução: 0.000192300, Linha no dataset: 49632
Tempo de execução: 0.000171700, Linha no dataset: 49896
Tempo de execução: 0.000172500, Linha no dataset: 50160
Tempo de execução: 0.000175200, Linha no dataset: 50424
Tempo de execução: 0.000180400, Linha no dataset: 50688
Tempo de execução: 0.000179500, Linha no dataset: 50952
Tempo de execução: 0.000200000, Linha no dataset: 51216
Tempo de execução: 0.000155000, Linha no dataset: 51480
Tempo de execução: 0.000147700, Linha no dataset: 51744
Tempo de execução: 0.000160600, Linha no dataset: 52008
Tempo de execução: 0.000178400, Linha no dataset: 52272
Tempo de execução: 0.000148200, Linha no dataset: 52536
Tempo de execução: 0.000144400, Linha no dataset: 52800
Tempo de execução: 0.000206700, Linha no dataset: 53064
Tempo de execução: 0.000396300, Linha no dataset: 53328
Tempo de execução: 0.000522200, Linha no dataset: 53592
Tempo de execução: 0.000584400, Linha no dataset: 53856
Tempo de execução: 0.000498400, Linha no dataset: 54120
Tempo de execução: 0.002596400, Linha no dataset: 54384
Tempo de execução: 0.002648000, Linha no dataset: 54648
Tempo de execução: 0.000455200, Linha no dataset: 54912
Tempo de execução: 0.000430300, Linha no dataset: 55176
Tempo de execução: 0.000419400, Linha no dataset: 55440
Tempo de execução: 0.000424000, Linha no dataset: 55704
Tempo de execução: 0.000337100, Linha no dataset: 55968
Tempo de execução: 0.000404200, Linha no dataset: 56232
Tempo de execução: 0.000490900, Linha no dataset: 56496
Tempo de execução: 0.000545900, Linha no dataset: 56760
Tempo de execução: 0.000265400, Linha no dataset: 57024
Tempo de execução: 0.000249100, Linha no dataset: 57288
Tempo de execução: 0.000235800, Linha no dataset: 57552
Tempo de execução: 0.000307100, Linha no dataset: 57816
Tempo de execução: 0.000305700, Linha no dataset: 58080
Tempo de execução: 0.000278300, Linha no dataset: 58344
Tempo de execução: 0.000328500, Linha no dataset: 58608
Tempo de execução: 0.000391600, Linha no dataset: 58872
Tempo de execução: 0.000438600, Linha no dataset: 59136
Tempo de execução: 0.000393500, Linha no dataset: 59400
Tempo de execução: 0.000373400, Linha no dataset: 59664
Tempo de execução: 0.000377600, Linha no dataset: 59928
Tempo de execução: 0.000358300, Linha no dataset: 60192
Tempo de execução: 0.000438200, Linha no dataset: 60456
Tempo de execução: 0.000676200, Linha no dataset: 60720
Tempo de execução: 0.000908200, Linha no dataset: 60984
Tempo de execução: 0.000538800, Linha no dataset: 61248
Tempo de execução: 0.000423400, Linha no dataset: 61512
Tempo de execução: 0.000580300, Linha no dataset: 61776
Tempo de execução: 0.000666300, Linha no dataset: 62040
Tempo de execução: 0.000765000, Linha no dataset: 62304
Tempo de execução: 0.000586900, Linha no dataset: 62568
Tempo de execução: 0.001138700, Linha no dataset: 62832
Tempo de execução: 0.000843700, Linha no dataset: 63096
Tempo de execução: 0.000714900, Linha no dataset: 63360
Tempo de execução: 0.000624900, Linha no dataset: 63624
Tempo de execução: 0.000580900, Linha no dataset: 63888
Tempo de execução: 0.000496000, Linha no dataset: 64152
Tempo de execução: 0.000495800, Linha no dataset: 64416
Tempo de execução: 0.000593300, Linha no dataset: 64680
Tempo de execução: 0.000659200, Linha no dataset: 64944
Tempo de execução: 0.000647200, Linha no dataset: 65208
Tempo de execução: 0.000664000, Linha no dataset: 65472
Tempo de execução: 0.000703300, Linha no dataset: 65736

 O tempo de execução na leitura da primeira parte arquivo: 0.057249100s
 Tempo médio: 0.000228996s

            Pesquisas 250 - 500

Tempo de execução: 0.000459800, Linha no dataset: 66000
Tempo de execução: 0.000415600, Linha no dataset: 66264
Tempo de execução: 0.000265500, Linha no dataset: 66528
Tempo de execução: 0.000457600, Linha no dataset: 66792
Tempo de execução: 0.000641800, Linha no dataset: 67056
Tempo de execução: 0.000825600, Linha no dataset: 67320
Tempo de execução: 0.000802400, Linha no dataset: 67584
Tempo de execução: 0.000796600, Linha no dataset: 67848
Tempo de execução: 0.000681100, Linha no dataset: 68112
Tempo de execução: 0.000609900, Linha no dataset: 68376
Tempo de execução: 0.000525000, Linha no dataset: 68640
Tempo de execução: 0.000496800, Linha no dataset: 68904
Tempo de execução: 0.000505300, Linha no dataset: 69168
Tempo de execução: 0.000546800, Linha no dataset: 69432
Tempo de execução: 0.000587200, Linha no dataset: 69696
Tempo de execução: 0.000674100, Linha no dataset: 69960
Tempo de execução: 0.000784000, Linha no dataset: 70224
Tempo de execução: 0.000804700, Linha no dataset: 70488
Tempo de execução: 0.000308300, Linha no dataset: 70752
